Org Number,Legal Name,SNI Code,Region,Classification,Legal Form,Founded Year,Personnel Costs,Board Total,Board Women,Board Men,Total Funding,turnover_first_year,turnover_last_year,turnover_first_value,turnover_last_value,turnover_cagr_pct,employees_first_year,employees_last_year,employees_first_value,employees_last_value,employees_cagr_pct,turnover_2023,turnover_2024,employees_2023,employees_2024,efficiency_growth_gap_pct,turnover_per_employee_2024,sni_2digit,division_interval,section_code,section_desc,time_span,log_turnover_2024,log_employees_2024,log_turnover_per_employee_2024,firm_age_2024,board_women_share,log_personnel_costs,log_total_funding
ORG_03246,Company_03246,71129,Stockholms län,Startup,aktiebolag,2020,3218000.0,5.0,3.0,2.0,3846867.26,2020.0,2024.0,54000.0,3132000.0,175.96690210718947,2020.0,2024.0,1.0,4.0,41.42135623730952,3271000.0,3132000.0,3.0,4.0,134.54554586987996,783000.0,71,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",4.0,14.957182655377581,1.6094379124341003,13.570889252111332,4.0,0.6,14.984270917286437,15.162769936281935
ORG_03293,Company_03293,28990;33120,Blekinge län,Startup,aktiebolag,2020,22790000.0,5.0,0.0,5.0,150000.0,2020.0,2024.0,1547000.0,153692000.0,215.7113803889173,2020.0,2024.0,5.0,23.0,46.4500276187315,105168000.0,153692000.0,18.0,23.0,169.2613527701858,6682260.869565218,28,10-33,C,MANUFACTURING,4.0,18.85046116421375,3.1780538303479458,15.714967091428019,4.0,0.0,16.94183244510076,11.918397239722838
ORG_03314,Company_03314,85599;88101,Västernorrlands län,Startup,aktiebolag,2020,29350000.0,2.0,2.0,0.0,25600.0,2020.0,2024.0,6274000.0,76356000.0,86.77754542323586,2020.0,2024.0,9.0,42.0,46.97778401749315,123030000.0,76356000.0,60.0,42.0,39.799761405742714,1818000.0,85,85,Q,EDUCATION,4.0,18.150917185099477,3.7612001156935624,14.413248103774416,4.0,1.0,17.19480313830993,10.150386692204734
ORG_03333,Company_03333,56210,Skåne län,Startup,aktiebolag,2020,990000.0,3.0,0.0,3.0,206000.0,2020.0,2024.0,408000.0,12328000.0,134.45425321981236,2020.0,2024.0,1.0,2.0,18.920711500272102,13055000.0,12328000.0,1.0,2.0,115.53354171954025,6164000.0,56,55-56,I,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,4.0,16.327383737098245,1.0986122886681098,15.634236637654446,4.0,0.0,13.805461232211272,12.235636302128867
ORG_03350,Company_03350,62010,Västra Götalands län,Startup,aktiebolag,2020,719000.0,2.0,0.0,2.0,400000.0,2020.0,2024.0,281000.0,1164000.0,42.663102728619975,2020.0,2024.0,1.0,3.0,31.60740129524924,899000.0,1164000.0,4.0,3.0,11.055701433370736,388000.0,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",4.0,13.96737376637968,1.3862943611198906,12.868763195921677,4.0,0.0,13.4856180275228,12.899222326086994
ORG_03370,Company_03370,58290;77110,Västra Götalands län,Startup,aktiebolag,2021,545000.0,2.0,0.0,2.0,210171.4,2021.0,2024.0,25000.0,386000.0,149.009413470777,2021.0,2024.0,1.0,1.0,0.0,121000.0,386000.0,1.0,1.0,149.009413470777,386000.0,58,58-60,J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",3.0,12.863595239117187,0.6931471805599453,12.863595239117187,3.0,0.0,13.208542908506082,12.255683425283468
ORG_03399,Company_03399,70220,Hallands län,Startup,aktiebolag,2020,196000.0,1.0,0.0,1.0,200000.0,2020.0,2024.0,164000.0,353000.0,21.12469998034008,2020.0,2024.0,1.0,2.0,18.920711500272102,1082000.0,353000.0,2.0,2.0,2.203988480067977,176500.0,70,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",4.0,12.77422616877261,1.0986122886681098,12.081081821061819,4.0,0.0,12.185875040240456,12.206077645517674
ORG_03440,Company_03440,27900,Västerbottens län,Startup,aktiebolag,2020,1313000.0,2.0,0.0,2.0,685000.0,2020.0,2024.0,1510000.0,1981000.0,7.0229411990859525,2021.0,2024.0,1.0,1.0,0.0,619000.0,1981000.0,1.0,1.0,7.0229411990859525,1981000.0,27,10-33,C,MANUFACTURING,4.0,14.499112830476118,0.6931471805599453,14.499112830476118,4.0,0.0,14.087825914899266,13.437175577097312
ORG_03443,Company_03443,46340,Skåne län,Startup,aktiebolag,2020,1468000.0,2.0,1.0,1.0,100000.0,2020.0,2024.0,8000.0,1772000.0,285.7833079092098,2021.0,2024.0,3.0,2.0,-12.64195352637011,3439000.0,1772000.0,2.0,2.0,298.4252614355799,886000.0,46,46-47,G,WHOLESALE AND RETAIL TRADE,4.0,14.38761997448109,1.0986122886681098,13.694473358254752,4.0,0.5,14.199412169355275,11.51293546492023
ORG_03449,Company_03449,47510,Stockholms län,Startup,aktiebolag,2020,1150000.0,1.0,1.0,0.0,475418.0,2020.0,2024.0,133000.0,10982000.0,201.4445591650715,2020.0,2024.0,1.0,3.0,31.60740129524924,5545000.0,10982000.0,3.0,3.0,169.83715786982225,3660666.6666666665,47,46-47,G,WHOLESALE AND RETAIL TRADE,4.0,16.211768217879047,1.3862943611198906,15.113156111327093,4.0,1.0,13.955273369904273,13.071951799453728
