term,coef,std_err,t_value,p_value,n_obs,dof
Intercept,79.7906910925085,104.6506170909311,0.7624483573104803,0.4462875958943182,383,363
log_turnover_last,13.666568424293246,7.415064804244244,1.8430814544561713,0.06613223355018216,383,363
log_employees_last,-0.5461061820433315,11.952017020609116,-0.0456915498950235,0.9635812242938773,383,363
time_span,-32.55449839407974,3.811081949792104,-8.54206202410725,3.684455796492257e-16,383,363
sec_C,-33.645093286852216,54.07852191716417,-0.6221526050284574,0.5342321060637198,383,363
sec_E,-56.58068232833625,90.63722481074663,-0.6242543551667484,0.5328526792320931,383,363
sec_F,-41.37469665490494,69.96298643150698,-0.5913797961642236,0.5546340536266656,383,363
sec_G,-27.081155994558685,54.72413203724953,-0.4948667979991922,0.6209935346873143,383,363
sec_H,-27.742038671201954,105.46610105608151,-0.26304223246529373,0.7926672634335092,383,363
sec_I,-62.13584367489898,76.69345203520224,-0.810184468504282,0.41836496452806005,383,363
sec_J,-26.848686336588344,54.463287855050865,-0.49296851868443387,0.6223328994063497,383,363
sec_K,-21.017709243307763,50.98967895768897,-0.41219536331554807,0.6804395455466521,383,363
sec_L,81.46301449551311,70.37944234950722,1.1574830913118694,0.2478360935530226,383,363
sec_M,-25.383305612236654,104.9924094257799,-0.24176324508659217,0.8091001367802226,383,363
sec_N,-45.95992735407367,51.523088907887825,-0.8920258534235033,0.3729699911663247,383,363
sec_O,-91.26460906942907,63.570534817280546,-1.4356432477994565,0.15196500206437422,383,363
sec_Q,-39.51157892400715,61.372194167655934,-0.6438026122395074,0.520109982121097,383,363
sec_R,-50.508911925938946,68.08349214590284,-0.7418672329218721,0.4586474985343687,383,363
sec_S,-49.340554868684194,76.63309158183685,-0.643854421767562,0.5200764204710189,383,363
sec_T,-29.634314325224523,82.16206927277028,-0.3606812071254122,0.7185475698632202,383,363
