Org Number,Legal Name,SNI Code,sni_2digit,division_interval,section_code,section_desc,sni_category
ORG_00799,Company_00799,72190,72,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ORG_00815,Company_00815,62030,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_00826,Company_00826,64202,64,64-66,L,FINANCIAL AND INSURANCE ACTIVITIES,64-66 L - FINANCIAL AND INSURANCE ACTIVITIES
ORG_00827,Company_00827,73111,73,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ORG_00829,Company_00829,62010,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_00834,Company_00834,85600,85,85,Q,EDUCATION,85 Q - EDUCATION
ORG_00851,Company_00851,62010,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_00854,Company_00854,56100,56,55-56,I,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,55-56 I - ACCOMMODATION AND FOOD SERVICE ACTIVITIES
ORG_00866,Company_00866,88101,88,86-88,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,86-88 R - HUMAN HEALTH AND SOCIAL WORK ACTIVITIES
ORG_00869,Company_00869,43120;87203,43,41-43,F,CONSTRUCTION,41-43 F - CONSTRUCTION
ORG_00874,Company_00874,01135;71124,1,01-03,A,"AGRICULTURE, FORESTRY AND FISHING","01-03 A - AGRICULTURE, FORESTRY AND FISHING"
ORG_00876,Company_00876,71123;71129;71200,71,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ORG_00888,Company_00888,62010,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_00889,Company_00889,58290,58,58-60,J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES","58-60 J - PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES"
ORG_00903,Company_00903,47610,47,46-47,G,WHOLESALE AND RETAIL TRADE,46-47 G - WHOLESALE AND RETAIL TRADE
ORG_00909,Company_00909,47410,47,46-47,G,WHOLESALE AND RETAIL TRADE,46-47 G - WHOLESALE AND RETAIL TRADE
ORG_00911,Company_00911,66220,66,64-66,L,FINANCIAL AND INSURANCE ACTIVITIES,64-66 L - FINANCIAL AND INSURANCE ACTIVITIES
ORG_00914,Company_00914,62010,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_00920,Company_00920,62010,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_00946,Company_00946,62020,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_00947,Company_00947,85600,85,85,Q,EDUCATION,85 Q - EDUCATION
ORG_00951,Company_00951,46610,46,46-47,G,WHOLESALE AND RETAIL TRADE,46-47 G - WHOLESALE AND RETAIL TRADE
ORG_00957,Company_00957,63910,63,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
