model_name,weighting_name,term,coef,std_err,t_value,p_value,n_obs,dof,r_squared
base_controls,ols_equal_weights,Intercept,116.28931746881062,108.9264991737574,1.0675943719012597,0.28645433716082686,363,343,0.19932730154326483
base_controls,ols_equal_weights,log_turnover_2024,11.804874781530543,7.766284977403323,1.52001565946625,0.12942828435924647,363,343,0.19932730154326483
base_controls,ols_equal_weights,log_employees_2024,1.5585709468352889,12.325598348240618,0.12644992176446854,0.8994498776494624,363,343,0.19932730154326483
base_controls,ols_equal_weights,time_span,-33.18003493873792,3.8919968594168197,-8.52519571244198,4.929883053713218e-16,363,343,0.19932730154326483
base_controls,ols_equal_weights,sec_C,-36.789679816816715,63.031304031456315,-0.5836731507007455,0.5598238442772242,363,343,0.19932730154326483
base_controls,ols_equal_weights,sec_E,-64.21290149035065,95.83763009632874,-0.6700176269572682,0.5032973725737004,363,343,0.19932730154326483
base_controls,ols_equal_weights,sec_F,-50.170535332873214,76.41117437832864,-0.656586366340449,0.5118871748682767,363,343,0.19932730154326483
base_controls,ols_equal_weights,sec_G,-25.304372525126837,63.74463131863169,-0.39696476396014096,0.6916403271821555,363,343,0.19932730154326483
base_controls,ols_equal_weights,sec_H,-34.9239503987701,109.56605830580747,-0.3187478945468186,0.7501117024552373,363,343,0.19932730154326483
base_controls,ols_equal_weights,sec_I,-70.20126994722,82.6847416563122,-0.8490232725043629,0.3964605008181278,363,343,0.19932730154326483
base_controls,ols_equal_weights,sec_J,-36.510511964494526,62.670312970103076,-0.5825806547657085,0.5605584032268218,363,343,0.19932730154326483
base_controls,ols_equal_weights,sec_K,-31.702861494745775,59.820405177795834,-0.5299673481067169,0.5964774539176034,363,343,0.19932730154326483
base_controls,ols_equal_weights,sec_L,73.60739447652145,76.90768624323877,0.9570876211737879,0.33919712316643835,363,343,0.19932730154326483
base_controls,ols_equal_weights,sec_M,-35.88520224364402,108.84529418655785,-0.3296899743055291,0.7418354763300649,363,343,0.19932730154326483
base_controls,ols_equal_weights,sec_N,-51.988419830526254,60.403107917944396,-0.8606911402828938,0.3900093977903847,363,343,0.19932730154326483
base_controls,ols_equal_weights,sec_O,-92.18589714047721,71.93230983900816,-1.2815645340292652,0.2008611058492899,363,343,0.19932730154326483
base_controls,ols_equal_weights,sec_Q,-48.30047471981402,68.61888685063107,-0.7038947575024647,0.48197588963424987,363,343,0.19932730154326483
base_controls,ols_equal_weights,sec_R,-58.91619242076035,74.95643229882936,-0.7860058251689294,0.4324067250035528,363,343,0.19932730154326483
base_controls,ols_equal_weights,sec_S,-58.16665703550825,82.4979553136489,-0.7050678627653799,0.48124650676261804,363,343,0.19932730154326483
base_controls,ols_equal_weights,sec_T,-37.500245653386514,87.81264572293786,-0.42704835214401177,0.6696120458886263,363,343,0.19932730154326483
base_controls,wls_by_employees,Intercept,133.00823389123252,107.26580223193696,1.2399873130453416,0.21582770915956476,363,343,0.1763017832236451
base_controls,wls_by_employees,log_turnover_2024,9.207156205248339,7.564422505166368,1.2171657782150604,0.22437791742133076,363,343,0.1763017832236451
base_controls,wls_by_employees,log_employees_2024,-5.528879675660846,11.476017598030142,-0.4817768558153726,0.6302717180687188,363,343,0.1763017832236451
base_controls,wls_by_employees,time_span,-30.568926219449487,3.9651370376599484,-7.709424902371077,1.3800532751698394e-13,363,343,0.1763017832236451
base_controls,wls_by_employees,sec_C,-23.993661439988728,65.9460967136281,-0.3638374769045325,0.7162035376875782,363,343,0.1763017832236451
base_controls,wls_by_employees,sec_E,-43.05080949423984,102.9537847029441,-0.4181566478440374,0.6760942613874501,363,343,0.1763017832236451
base_controls,wls_by_employees,sec_F,0.6733787179348383,78.64432037290871,0.008562331198767698,0.9931733093798133,363,343,0.1763017832236451
base_controls,wls_by_employees,sec_G,-8.679615611483314,67.33252620407367,-0.12890672756249846,0.8975070059404475,363,343,0.1763017832236451
base_controls,wls_by_employees,sec_H,-6.1590118861179235,92.60958314857139,-0.06650512481237676,0.9470144247190833,363,343,0.1763017832236451
base_controls,wls_by_employees,sec_I,-56.1420166018147,88.06942574047538,-0.6374745393169139,0.5242410756433651,363,343,0.1763017832236451
base_controls,wls_by_employees,sec_J,-3.365382338221252,66.08591692434425,-0.050924349617089706,0.9594154449316323,363,343,0.1763017832236451
base_controls,wls_by_employees,sec_K,-9.54452468595855,62.879077919361045,-0.15179174061997025,0.8794404372519795,363,343,0.1763017832236451
base_controls,wls_by_employees,sec_L,121.22431335452711,72.08783972931128,1.6816194494067587,0.09355285251869357,363,343,0.1763017832236451
base_controls,wls_by_employees,sec_M,-31.256153058246582,119.32831051646319,-0.2619340952953014,0.7935294813571259,363,343,0.1763017832236451
base_controls,wls_by_employees,sec_N,-25.451735281828178,63.733122282209976,-0.399348633339004,0.6898848733133411,363,343,0.1763017832236451
base_controls,wls_by_employees,sec_O,-64.44173292886512,75.61052006219835,-0.8522852755919994,0.39465047310064316,363,343,0.1763017832236451
base_controls,wls_by_employees,sec_Q,-17.057259817650447,72.13534273353937,-0.23646189470060788,0.8132154185675402,363,343,0.1763017832236451
base_controls,wls_by_employees,sec_R,-31.905398014092725,74.84501946424069,-0.42628618767794463,0.6701667187484011,363,343,0.1763017832236451
base_controls,wls_by_employees,sec_S,2.2770979126808015,88.08319612719987,0.025851672200818784,0.979390680665186,363,343,0.1763017832236451
base_controls,wls_by_employees,sec_T,-24.512624600277604,92.65570110548953,-0.2645560317154118,0.7915103928703343,363,343,0.1763017832236451
base_controls,wls_by_turnover,Intercept,114.0731231027894,115.57090062558645,0.9870401847291181,0.3243186891062829,363,343,0.20166524456424928
base_controls,wls_by_turnover,log_turnover_2024,10.692336288722572,7.2545043726556635,1.4738892885674033,0.14142855790682257,363,343,0.20166524456424928
base_controls,wls_by_turnover,log_employees_2024,-10.369705235201309,10.58555859739693,-0.9796086942215121,0.3279697410520953,363,343,0.20166524456424928
base_controls,wls_by_turnover,time_span,-29.037988287369373,3.665419551700259,-7.9221458492792936,3.291063542443113e-14,363,343,0.20166524456424928
base_controls,wls_by_turnover,sec_C,-38.792066233183505,77.22495150300067,-0.5023255499445175,0.6157608694603222,363,343,0.20166524456424928
base_controls,wls_by_turnover,sec_E,-43.76233096037686,101.31581128492631,-0.4319397970106151,0.6660565658341672,363,343,0.20166524456424928
base_controls,wls_by_turnover,sec_F,-12.976441203483319,88.25276916381507,-0.14703721284253876,0.8831890345664319,363,343,0.20166524456424928
base_controls,wls_by_turnover,sec_G,-24.439661716518003,77.41125554157315,-0.31571199233931635,0.7524131340746417,363,343,0.20166524456424928
base_controls,wls_by_turnover,sec_H,-13.39124563806763,98.6977483226441,-0.13567934289940933,0.8921543695884533,363,343,0.20166524456424928
base_controls,wls_by_turnover,sec_I,-57.51316643770497,92.24867912431932,-0.6234578856158699,0.5333980260271628,363,343,0.20166524456424928
base_controls,wls_by_turnover,sec_J,11.837951292292928,77.88041281026761,0.15200165054508075,0.8792750005350258,363,343,0.20166524456424928
base_controls,wls_by_turnover,sec_K,-12.159918054442642,75.193191710159,-0.16171567901139874,0.8716249728252669,363,343,0.20166524456424928
base_controls,wls_by_turnover,sec_L,130.958953592306,82.24631039684338,1.592277549721333,0.1122434748109127,363,343,0.20166524456424928
base_controls,wls_by_turnover,sec_M,-43.77988947809172,139.7628772828174,-0.313244048271136,0.7542856440634285,363,343,0.20166524456424928
base_controls,wls_by_turnover,sec_N,-25.49956194146307,75.78175356948883,-0.3364868288258993,0.7367095496261191,363,343,0.20166524456424928
base_controls,wls_by_turnover,sec_O,-66.41277505337484,84.6928961152982,-0.7841599248532323,0.4334874673839205,363,343,0.20166524456424928
base_controls,wls_by_turnover,sec_Q,-15.909619278768332,82.28366571376479,-0.19335088125645936,0.846798623979657,363,343,0.20166524456424928
base_controls,wls_by_turnover,sec_R,-32.22443115246506,84.03851996671162,-0.3834483420844326,0.7016249193059134,363,343,0.20166524456424928
base_controls,wls_by_turnover,sec_S,-5.439817341490198,97.22375324472665,-0.05595152583543415,0.9554130007996494,363,343,0.20166524456424928
base_controls,wls_by_turnover,sec_T,-32.43480092507434,97.46584104766735,-0.3327812141816079,0.7395027398205101,363,343,0.20166524456424928
add_productivity,ols_equal_weights,Intercept,225.90712396457798,115.33919333209275,1.9586327720719376,0.05096819588814318,363,342,0.2160076904312076
add_productivity,ols_equal_weights,log_turnover_2024,179.24468743631235,62.54768865599785,2.8657283952110375,0.004417948153019703,363,342,0.2160076904312076
add_productivity,ols_equal_weights,log_employees_2024,-203.99546702295157,77.17460252623155,-2.643297928921808,0.008588189974473501,363,342,0.2160076904312076
add_productivity,ols_equal_weights,time_span,-31.616532351097543,3.9001781368368933,-8.106432896610988,9.38044909762359e-15,363,342,0.2160076904312076
