Org Number,Legal Name,SNI Code,Region,Classification,turnover_first_year,turnover_last_year,turnover_first_value,turnover_last_value,turnover_cagr_pct,employees_first_year,employees_last_year,employees_first_value,employees_last_value,employees_cagr_pct,turnover_2023,turnover_2024,employees_2023,employees_2024,efficiency_growth_gap_pct,cagr_per_employee,turnover_per_employee_2024,scalability_ratio,sni_2digit,division_interval,section_code,section_desc,sni_category
ORG_02968,Company_02968,62010,Uppsala län,Startup,2020.0,2024.0,3184000.0,5140000.0,12.719100641018377,2020.0,2024.0,3.0,3.0,0.0,7453000.0,5140000.0,6.0,3.0,12.719100641018377,4.239700213672792,1713333.3333333333,,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_02971,Company_02971,62010,Jämtlands län,Startup,2020.0,2024.0,4300000.0,19199000.0,45.36255178976876,2020.0,2024.0,5.0,9.0,15.829218528826905,16624000.0,19199000.0,10.0,9.0,29.533333260941852,5.040283532196529,2133222.222222222,2.865748028379172,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_03003,Company_03003,63110,Stockholms län,Startup,2020.0,2024.0,31000.0,2142000.0,188.31314475416332,2020.0,2024.0,1.0,4.0,41.42135623730952,1284000.0,2142000.0,5.0,4.0,146.8917885168538,47.07828618854083,535500.0,4.546281480386288,63,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_03012,Company_03012,63110,Västerbottens län,Startup,2020.0,2024.0,89000.0,1569000.0,104.9076790774016,2020.0,2024.0,1.0,2.0,18.920711500272102,2242000.0,1569000.0,4.0,2.0,85.98696757712949,52.4538395387008,784500.0,5.544594825405635,63,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_03017,Company_03017,62010,Västerbottens län,Startup,2020.0,2024.0,246000.0,2463000.0,77.88213206336,2021.0,2024.0,2.0,3.0,14.471424255333186,545000.0,2463000.0,2.0,3.0,63.410707808026814,25.96071068778667,821000.0,5.381787631211069,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_03039,Company_03039,30910,Stockholms län,Startup,2020.0,2024.0,430000.0,4846000.0,83.22247212594749,2020.0,2024.0,2.0,4.0,18.920711500272102,3465000.0,4846000.0,4.0,4.0,64.30176062567539,20.805618031486873,1211500.0,4.398485338394947,30,10-33,C,MANUFACTURING,10-33 C - MANUFACTURING
ORG_03040,Company_03040,70220,Stockholms län,Startup,2020.0,2024.0,209000.0,1854000.0,72.58015747037827,2021.0,2024.0,1.0,6.0,81.71205928321396,0.0,1854000.0,10.0,6.0,-9.131901812835693,12.096692911729711,309000.0,0.8882429118426141,70,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ORG_03042,Company_03042,62010,Stockholms län,Startup,2020.0,2024.0,297000.0,3349000.0,83.24818193431342,2020.0,2024.0,3.0,3.0,0.0,1831000.0,3349000.0,3.0,3.0,83.24818193431342,27.749393978104475,1116333.3333333333,,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_03073,Company_03073,58290,Stockholms län,Startup,2020.0,2024.0,91000.0,338000.0,38.82536595733732,2020.0,2024.0,2.0,1.0,-15.91035847462855,43000.0,338000.0,3.0,1.0,54.73572443196587,38.82536595733732,338000.0,-2.4402571456356674,58,58-60,J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES","58-60 J - PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES"
ORG_03083,Company_03083,56100,Värmlands län,Startup,2020.0,2024.0,963000.0,1028000.0,1.6463309553888195,2020.0,2024.0,2.0,2.0,0.0,1183000.0,1028000.0,2.0,2.0,1.6463309553888195,0.8231654776944097,514000.0,,56,55-56,I,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,55-56 I - ACCOMMODATION AND FOOD SERVICE ACTIVITIES
ORG_03087,Company_03087,26600,Stockholms län,Startup,2020.0,2024.0,10000.0,1645000.0,258.13063731522135,2020.0,2024.0,1.0,10.0,77.82794100389228,22272000.0,1645000.0,10.0,10.0,180.30269631132907,25.813063731522135,164500.0,3.3166833657119605,26,10-33,C,MANUFACTURING,10-33 C - MANUFACTURING
ORG_03092,Company_03092,58290,Skåne län,Startup,2020.0,2024.0,74000.0,1516000.0,112.74867814243325,2020.0,2024.0,3.0,11.0,38.37825752309054,325000.0,1516000.0,10.0,11.0,74.37042061934271,10.249879831130295,137818.18181818182,2.9378269212612698,58,58-60,J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES","58-60 J - PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES"
ORG_03111,Company_03111,72190,Uppsala län,Scaleup,2020.0,2024.0,3221000.0,82468000.0,124.94362229467706,2020.0,2024.0,4.0,34.0,70.74764851741445,16613000.0,82468000.0,31.0,34.0,54.19597377726261,3.674812420431678,2425529.411764706,1.7660462914738762,72,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ORG_03119,Company_03119,62020,Västra Götalands län,Startup,2020.0,2024.0,219000.0,1154000.0,51.509694848445434,2020.0,2024.0,1.0,2.0,18.920711500272102,592000.0,1154000.0,2.0,2.0,32.58898334817333,25.754847424222717,577000.0,2.7223973499994787,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_03147,Company_03147,62010,Stockholms län,Startup,2020.0,2024.0,150000.0,11418000.0,195.37565310084202,2020.0,2024.0,2.0,23.0,84.15116050578216,5378000.0,11418000.0,18.0,23.0,111.22449259505986,8.494593613080088,496434.7826086957,2.3217226230340273,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_03165,Company_03165,62010,Västra Götalands län,Startup,2020.0,2024.0,1000.0,1132000.0,480.0448920775136,2020.0,2024.0,1.0,3.0,31.60740129524924,646000.0,1132000.0,2.0,3.0,448.4374907822644,160.01496402583788,377333.3333333333,15.187736808646363,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_03171,Company_03171,43120;43130;71121;71124,Norrbottens län,Startup,2020.0,2024.0,2807000.0,14374000.0,50.42977536229436,2020.0,2024.0,2.0,5.0,25.743342968293547,11451000.0,14374000.0,4.0,5.0,24.68643239400081,10.085955072458871,2874800.0,1.9589443152121127,43,41-43,F,CONSTRUCTION,41-43 F - CONSTRUCTION
ORG_03173,Company_03173,90010,Jämtlands län,Startup,2020.0,2024.0,287000.0,364000.0,6.121864511652175,2020.0,2024.0,1.0,1.0,0.0,78000.0,364000.0,1.0,1.0,6.121864511652175,6.121864511652175,364000.0,,90,90-93,S,"ARTS, SPORTS AND RECREATION","90-93 S - ARTS, SPORTS AND RECREATION"
ORG_03177,Company_03177,62010,Värmlands län,Startup,2020.0,2024.0,66000.0,1587000.0,121.44110901499387,2022.0,2024.0,5.0,2.0,-17.283933200393964,2754000.0,1587000.0,8.0,2.0,138.72504221538784,60.720554507496935,793500.0,-7.0262426732953225,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_03186,Company_03186,47789,Blekinge län,Startup,2021.0,2024.0,376000.0,1397000.0,54.882679614788124,2021.0,2024.0,1.0,1.0,0.0,538000.0,1397000.0,1.0,1.0,54.882679614788124,54.882679614788124,1397000.0,,47,46-47,G,WHOLESALE AND RETAIL TRADE,46-47 G - WHOLESALE AND RETAIL TRADE
ORG_03194,Company_03194,93119,Stockholms län,Startup,2020.0,2024.0,114000.0,4358000.0,148.6540822709592,2021.0,2024.0,2.0,7.0,51.82944859378311,2432000.0,4358000.0,7.0,7.0,96.8246336771761,21.236297467279886,622571.4285714285,2.868139374509767,93,90-93,S,"ARTS, SPORTS AND RECREATION","90-93 S - ARTS, SPORTS AND RECREATION"
ORG_03216,Company_03216,85599,Kalmar län,Startup,2020.0,2024.0,266000.0,923000.0,36.483457583761925,2020.0,2024.0,1.0,1.0,0.0,941000.0,923000.0,1.0,1.0,36.483457583761925,36.483457583761925,923000.0,,85,85,Q,EDUCATION,85 Q - EDUCATION
